"","log2FoldChange","padj","Factor"
"ko:K02978",-0.597219069538761,0.656834789294077,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.16413678556869,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K02983",0.513428442630277,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02984",0.837233774976313,0.700344283968062,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.304832028256142,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02987",1.24902173232798,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.103538245466494,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.26334364977786,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.775348175075252,0.252959114103012,"Menthol_Menthol_vs_Control"
"ko:K02995",-0.0212516953341465,0.99362907442215,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.35711092693214,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03008",0.748925257787678,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03031",0.206303179081286,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03083",0.050930852762727,0.95305564716221,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.312582033967123,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03231",0.626662263421196,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03232",-1.96238961015221,0.425682284135626,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.299508246898446,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03234",0.868060365953203,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.791085768539939,0.486169909006486,"Menthol_Menthol_vs_Control"
"ko:K03246",0.337418546778359,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.311456077796343,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.34346530447631,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03521",0.196123077252652,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.768853078799816,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03626",-0.0984519761990613,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.49051625960205,0.907757096390501,"Menthol_Menthol_vs_Control"
"ko:K03872",0.385275442529137,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03873",0.00209794431659456,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K03936",0.293588720047091,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K03942",-0.0144930614980443,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K03943",0.807861438382762,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04043",0.655282464209656,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04079",-0.227347101705533,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04345",0.946209462016051,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04348",1.48816017960587,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04354",-2.06905050845931,0.0272671624006379,"Menthol_Menthol_vs_Control"
"ko:K04364",-0.264520156399321,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04369",-0.982183176902757,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04370",0.203729200164597,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04371",-0.387447680310568,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04393",-0.636552392896751,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04444",-1.13414699206727,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04456",-0.699790600058457,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04503",-0.183354358997537,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04536",-0.637667781653073,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04552",0.169456388610217,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04567",0.0506574593922955,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K04712",0.212660059231212,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K05754",-0.128341510924311,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K05755",0.713294249322151,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K05757",0.0570027418726856,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K05758",-0.728932781904581,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K05759",-0.762139824807948,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K06685",0.347901973034331,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K06689",-0.163111502862426,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K06704",0.552104084503309,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07151",-0.206257841581973,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07192",-0.194891620347302,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07205",-0.885858624159994,0.679888078009738,"Menthol_Menthol_vs_Control"
"ko:K07342",-0.254649040003193,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07375",0.135249745759396,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07509",-0.0809755753961316,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K07827",0.419128201151451,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07874",0.395348246195881,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07887",0.0789929063147255,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K07890",1.23503660942294,0.14717528243193,"Menthol_Menthol_vs_Control"
"ko:K07893",-0.399449758629349,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07901",-0.528885395066523,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07936",0.306161504805367,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K07937",0.0261980979093066,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K07976",0.542762899781916,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K08056",-0.0863837720171513,0.987454494282019,"Menthol_Menthol_vs_Control"
"ko:K08548",0.136954142345404,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K08764",1.17837769817035,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K08870",-0.547577962401198,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K08957",0.924749441160605,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09022",-0.467734134518639,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09398",0.957538448788215,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09481",0.116934998098331,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09490",1.3222764267902,0.703410703562284,"Menthol_Menthol_vs_Control"
"ko:K09567",-1.28175813478297,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09568",0.731022312242692,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09569",1.60863998503092,0.358408013795505,"Menthol_Menthol_vs_Control"
"ko:K09580",0.0605096667816183,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K09584",0.19994840946118,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.824726717806683,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K10364",0.553286311322748,0.714584973853001,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.154890856106895,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10418",0.384785051616816,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10419",0.273200184431604,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10420",0.0136906889398119,0.995912567362431,"Menthol_Menthol_vs_Control"
"ko:K10435",0.074520982913019,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10573",0.903478139233244,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10575",-0.423765046149897,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10577",-0.840006606519394,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10580",0.033350418958402,0.983746033836852,"Menthol_Menthol_vs_Control"
"ko:K10582",0.324430075980975,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10583",-0.995316001243714,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10688",-1.3586645760633,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10704",0.153639327744058,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K10949",0.0574863082551581,0.976689137269708,"Menthol_Menthol_vs_Control"
"ko:K10956",0.873670627820369,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.358491121490286,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11088",0.00951712338684903,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K11099",0.685096630190798,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11130",0.909682460127416,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11188",-0.269319615310677,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11251",1.06705205803772,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.0830406835817045,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0308920928809963,0.99362907442215,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.766330248179922,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11584",0.303516921353475,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.222524939288881,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.590291016885063,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12158",-0.0904748848088893,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.125610123409198,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0752035981924891,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.49903653686724,0.703410703562284,"Menthol_Menthol_vs_Control"
"ko:K12393",0.537932470969673,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12621",0.5402323943892,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.7348974711278,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12623",0.147607982957081,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.0904020072283464,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0392968058722283,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.126631558234698,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12833",-1.05044225625066,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12859",-0.0612472605453656,0.976689137269708,"Menthol_Menthol_vs_Control"
"ko:K12877",-0.370026763384724,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.65427121859524,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.1539209896121,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K13126",0.27142872069208,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K13176",-0.771370193993087,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K13251",0.165256611857766,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K13758",0.80205750390212,0.907757096390501,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.67325499996709,1.53836623798373e-05,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.233063485977876,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.133942035147704,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.749527281855642,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.17703272099372,2.68340712999307e-10,"Menthol_Menthol_vs_Control"
"ko:K15025",0.0523828944631154,0.987454494282019,"Menthol_Menthol_vs_Control"
"ko:K15103",0.204345226157319,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.12284981237864,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K16186",1.62736714791196,0.146249464607037,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.30024521685881,0.193918102273326,"Menthol_Menthol_vs_Control"
"ko:K16344",-1.25418708601714,0.525636435252414,"Menthol_Menthol_vs_Control"
"ko:K16575",-0.00911121641570425,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.219646955067115,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17080",-0.298774722276373,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.430366276135048,0.907757096390501,"Menthol_Menthol_vs_Control"
"ko:K17093",0.981731000051151,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17254",0.84660941299038,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.983078903118659,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K17268",0.338308898803167,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.364346150466236,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.776388175574546,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17795",0.831175441130609,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0919202055029171,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K17920",1.1187378248571,1.14045883696373e-06,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.483836743184288,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.349539266127904,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K18617",0.579355686178704,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K19682",0.42058584368311,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0487981172238853,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K19788",1.81793537801485,0.857943833442563,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.045480136765837,0.958271248811362,"Menthol_Menthol_vs_Control"
"ko:K19932",-1.01043158240206,0.807006953052527,"Menthol_Menthol_vs_Control"
"ko:K20011",-0.125867723417841,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20301",0.552010189762933,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20302",0.0521528226621575,0.970827654946723,"Menthol_Menthol_vs_Control"
"ko:K20346",-1.11578021419508,0.821611999377631,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.663123715967134,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.57243361261911,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20352",0.0868590126047193,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20369",0.605425137979194,0.0163637850051695,"Menthol_Menthol_vs_Control"
"ko:K20398",0.449437880610354,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K20399",-1.4687572894752,0.920856836514879,"Menthol_Menthol_vs_Control"
"ko:K20472",0.395984162578299,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K21870",-0.509376317050853,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K21891",-0.896100629574544,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K22069",0.576132615648882,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K22390",-0.41114219006872,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K22503",-0.352479228848213,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K22556",-2.51990184917475,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K22939",-0.439362761079928,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K23034",-2.0260911601202,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K000241",-0.985795913359488,0.519435490042485,"Vibrio_Vibrio_vs_Control"
"ko:K000311",-0.135058761389545,0.932774992915301,"Vibrio_Vibrio_vs_Control"
"ko:K001281",-0.0679988157590627,0.932774992915301,"Vibrio_Vibrio_vs_Control"
"ko:K001341",-0.917931375093444,0.578035053681709,"Vibrio_Vibrio_vs_Control"
"ko:K001401",1.18652875259937,0.345832663805642,"Vibrio_Vibrio_vs_Control"
"ko:K002071",-0.387673588370804,0.836011672124184,"Vibrio_Vibrio_vs_Control"
"ko:K002351",-0.964207350512651,0.182873007512065,"Vibrio_Vibrio_vs_Control"
"ko:K002491",-3.01275746206368,NA,"Vibrio_Vibrio_vs_Control"
"ko:K002621",-0.624553528071256,0.561545933941516,"Vibrio_Vibrio_vs_Control"
"ko:K003311",0.774547076092146,0.533807789886352,"Vibrio_Vibrio_vs_Control"
"ko:K003331",-0.283873794325856,0.769680307365627,"Vibrio_Vibrio_vs_Control"
"ko:K003381",0.972602121879108,NA,"Vibrio_Vibrio_vs_Control"
"ko:K003571",-1.72183464000923,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004111",-0.110898901106113,0.776722930447178,"Vibrio_Vibrio_vs_Control"
"ko:K004131",0.551471854906494,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004561",-0.696954333400646,0.519435490042485,"Vibrio_Vibrio_vs_Control"
"ko:K004691",-0.553311628345456,0.0492955188523012,"Vibrio_Vibrio_vs_Control"
"ko:K005001",-0.187681389827326,0.866156754029901,"Vibrio_Vibrio_vs_Control"
"ko:K005221",-0.297244408693618,0.615144263109068,"Vibrio_Vibrio_vs_Control"
"ko:K005441",0.473465111891396,0.891242397029714,"Vibrio_Vibrio_vs_Control"
"ko:K006161",1.06597106296831,NA,"Vibrio_Vibrio_vs_Control"
"ko:K006431",1.44004993465145,2.8565806061479e-05,"Vibrio_Vibrio_vs_Control"
"ko:K007991",-1.03847549500769,0.533807789886352,"Vibrio_Vibrio_vs_Control"
"ko:K008141",-0.481877002773983,NA,"Vibrio_Vibrio_vs_Control"
"ko:K008191",-0.11764596205771,0.862442728498197,"Vibrio_Vibrio_vs_Control"
"ko:K008561",1.34092700989836,0.288590621452909,"Vibrio_Vibrio_vs_Control"
"ko:K009331",-0.59378120278437,0.518066828976101,"Vibrio_Vibrio_vs_Control"
"ko:K009391",0.940559930465097,0.160142294119644,"Vibrio_Vibrio_vs_Control"
"ko:K009401",-0.758347879007928,0.550562001478171,"Vibrio_Vibrio_vs_Control"
